Benin,France,2015,?,6,?,ACMAT APC,armoured personnel carrier,6,?,2016,New,,0.16,0.96,0.96;;;;;;;;;;;;;;
Benin,France,2021,,30,?,VAB-VTT,armoured personnel carrier,30,?,2023;2024,Second hand,Second-hand;financed by EU aid,0.12,3.6,3.6;;;;;;;;;;;;
Bhutan,France,2015,,2,,EC130,light helicopter,2,?,2015;2016,New,USD7.3 m deal;H-130 (EC-130T2) version;incl for civilian roles,0.95,1.9,1.9;;;;;;;;;;;
Bolivia,France,2016,,4,,Ground Master-400,air-search radar,4,?,2019;2020,New,Part of EUR191 m ($215 m) deal;incl for civilian use,13,52,52;;;;;;;;;;;;
Bolivia,France,2013,,6,,AS-532 Cougar,transport helicopter,6,,2014;2016;2017,New,EUR161 m deal;AS-332C1e version,7.25,43.5,43.5;;;;;;;;;;;
Botswana,France,2016,,1,?,VL-MICA,SAM system,1,?,2020,New,,25,25,25;;;;;;;;;;;;;;
Botswana,France,2015,,150,?,MILAN,anti-tank missile,150,?,2016,New,,0.01,1.5,1.5;;;;;;;;;;;;;;
Botswana,France,2016,,50,?,MICA,long-range air-to-air missile,50,?,2020,New,For VL-MICA SAM system,0.4,20,20;;;;;;;;;;;;;;
Botswana,France,2016,,140,?,Mistral,portable SAM,140,?,2018;2019;2020,New,,0.09,12.6,12.6;;;;;;;;;;;;
Brazil,France,2022,,27,,AS-350/AS-550 Fennec,light helicopter,1,?,2024,New,'TH-X' programme;H125 version; for training;produced under licence in Brazil,0.9,24.3,0.9;;;;;;;;;;;
Brazil,France,2009,?,100,?,F21,anti-ship/anti-submarine torpedo,48,?,2020;2022;2023;2024,New,For Scorpene (SBR) and SNBR submarines,1.2,120,57.6;;;;;;;;;;;
Brazil,France,2008,,41,,H725 Caracal,transport helicopter,31,?,2014;2015;2016;2017;2018;2019;2020;2021,New,Part of EUR1.9 b 'H-XBR' programme;H225M version;incl 3 CSAR version;Brazilian designations H-36;HM-4;UH-15A and HU-2; produced under licence in Brazil;delivery planned 2010-2026,8,328,248
Brazil,France,2009,?,50,?,SM-39 Exocet,anti-ship missile,30,?,2022;2023;2024,New,SM-39 Block-2 version;for Scorpene (SBR) and SNBR submarines,0.75,37.5,22.5;;;;;;;;;;;
Brazil,France,2011,?,16,?,AM-39 Exocet,anti-ship missile,16,?,2021;2022;2023;2024,New,AM-39 Block-2 Mod-2 version;for EC-725 (AH-15B) helicopters;incl production of components in Brazil,0.75,12,12;;;;;;;;;
Brazil,France,2015,,1,,Foudre,amphibious assault ship,1,,2015,Second hand,Second-hand;EUR80 m ($85 m) deal;Brazilian designation Bahia,40,40,40;;;;;;;;;;;;
Brazil,France,2009,,2,,P-400,patrol boat,1,,2022,New,NAPA-500 version; produced under licence in Brazil; Brazilian designation Macae;delivery planned 2022-2026,19,38,19;;;;;;;;;;;
Brazil,France,2009,,4,,Scorpene,submarine,2,,2022;2024,New,Part of EUR6.8 b 'SDP' programme; S-BR version; produced under licence in Brazil; Brazilian designation Riachuelo;delivery planned 2022-2026,299.52,1198.08,599.04;;;;;;;;;
Brazil,France,2012,,4,,EC725 Super Cougar,anti-ship helicopter,3,,2021;2022,New,Part of EUR1.9 b 'H-XBR' programme;H225M version;Brazilian designation AH-15B and Operacio MB;produced under licence in Brazil,10.5,42,31.5;;;;;;;;;;
Brunei,France,2012,?,10,?,MM-40-3 Exocet,anti-ship/land-attack missile,10,?,2014,New,For OPV-80 (Darussalam) corvettes,1,10,10;;;;;;;;;;;;;;
Burkina Faso,France,2019,,6,,Bastion,armoured personnel carrier,6,?,2019;2020,New,Financed by EU aid,0.16,0.96,0.96;;;;;;;;;;;;;
Cameroon,France,2015,,23,?,Bastion,armoured personnel carrier,23,?,2015;2016,New,Financed by USA,0.16,3.68,3.68;;;;;;;;;;;;;
Cameroon,France,2012,,1,,Grebe,patrol boat,1,,2017,Second hand but modernized,Second-hand but modernized before delivery;Cameroon designation Dipikar,7.92,7.92,7.92;;;;;;;;;;;;;
Cameroon,France,2020,,33,,Bastion,armoured personnel carrier,33,?,2021;2022,New,For use by Cameroon peacekeepers in CAR,0.16,5.28,5.28;;;;;;;;;;;;;
Chad,France,2020,,12,?,ERC-90,armoured car,12,?,2021,Second hand,Second-hand;aid,0.32,3.84,3.84;;;;;;;;;;;;;
Chad,France,2019,,7,,Bastion,armoured personnel carrier,7,?,2019;2020,New,Financed by EU aid,0.16,1.12,1.12;;;;;;;;;;;;;
Chad,France,2020,,2,?,vehicle engine,vehicle engine,2,?,2021,Second hand,Probably second-hand;Peugeot V-6 (155hp) diesel engine; aid;spare engine for ERC-90 armoured cars,0,0.01,0.01;;;;;;;;;;;
Chile,France,2019,,5,,AS-350/AS-550 Fennec,light helicopter,5,,2020;2021;2022;2023,New,'Project Gaviota';H125 version;Chilean designation HH-50,0.9,4.5,4.5;;;;;;;;;
Chile,France,2023,?,30,?,MM-40 Exocet,anti-ship missile,15,?,2024,New,MM-40 Block-3 version;for modernized of Perry (Adelaide or Capitan Prat) frigates,0.9,27,13.5;;;;;;;;;;;;;
Chile,France,2015,?,30,?,MM-40-3 Exocet,anti-ship/land-attack missile,30,?,2016,New,For modernized Doorman (Almirante Blanco Encalada( frigates,1,30,30;;;;;;;;;;;;;;
Chile,France,2014,,1,,AS-532 Cougar,transport helicopter,1,,2016,New,H215M (AS-532) version,7.25,7.25,7.25;;;;;;;;;;;;;;
Chile,France,2011,,4,?,Ground Master-400,air-search radar,3,?,2014;2015;2016,New,,13,52,39;;;;;;;;;;;;
Chile,France,2010,?,2,,CAPTAS-4,anti-submarine sonar,1,,2015,New,For modernization of 2 Lynch (Duke or Type-23) frigates,11,22,11;;;;;;;;;;;;;;
Chile,France,2012,?,1,,AS-532 Cougar,transport helicopter,1,,2014,New,$25 m deal;AS-532 version,7.25,7.25,7.25;;;;;;;;;;;;;
China,France,1981,?,55,?,SA-321 Super Frelon,transport helicopter,5,?,2014;2015;2016,New,Chinese designation Z-8 (incl Z-8A;Z-8B;Z-8K;Z-8S and Z-8JH versions);produced under licence in China,8.85,486.75,44.25;;;;;;;;
China,France,2010,?,144,?,ship engine,ship engine,128,?,2014;2015;2016;2017;2018;2019;2020;2021,New,SEMT-Pielstick 16-PA6STC (7600hp) diesel engine for 72 Type-056 (Jiangdao) frigates produced in China;produced under licence in China,2.5,360,320;;;;;;
China,France,2000,?,208,?,ship engine,ship engine,96,,2015;2016;2017;2018;2019;2022;2023,New,SEMT-Pielstick 16-PA6-V-280 STC (7050hp) diesel engine for 2 Type-054 (Jiangkai-1) and 50 Type-054A (Jiankai-2) frigates produced in China;produced under licence in China,2.5,520,240;;;;;;;
China,France,2005,?,34,?,ship engine,ship engine,20,?,2016;2018;2019;2020,New,SEMT-Pielstick 16-PC2.6-V400 (11750hp) diesel engine for 6 Type-071 (Yuzhao) amphibious assault ships and 1 Danyao support ship produced in China;produced under licence in China,4,136,80;;;;;;;;;;
China,France,2005,?,500,?,aircraft engine,aircraft engine,410,?,2014;2015;2016;2017;2018;2019;2020;2021,New,Turbomeca Arriel-2C (850hp) turboshaft engine for some 250 Z-19 combat helicopters produced in China;produced under licence in China as WZ-8C,0.35,175,143.5;;;;;;
China,France,1988,,,?,AS365/AS565 Panther,helicopter,139,?,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023;2024,New,Produced under licence in China as Z-9A or Z-9A-100 Haitun and Z-9B/G;incl Z-9WZ anti-tank version;incl for modification to Z-9C and Z-9F anti-submarine versions,3.25,0,451.75;;
Colombia,France,2015,,1,,ATR-42,transport aircraft,1,,2015,Second hand,Second-hand;ATR42-320 version,3.8,3.8,3.8;;;;;;;;;;;;;
Cote d'Ivoire,France,2013,?,3,,RPB-33,patrol boat,3,,2014;2015;2016,New,,5,15,15;;;;;;;;;;;;
Cote d'Ivoire,France,2017,?,9,?,Bastion,armoured personnel carrier,9,?,2018,New,For Cote d'Ivoire UN peacekeeping forces,0.16,1.44,1.44;;;;;;;;;;;;;;
Cote d'Ivoire,France,2014,?,1,,AS365/AS565 Panther,helicopter,1,,2014,Second hand,Second-hand;AS-365N-2 version,1.3,1.3,1.3;;;;;;;;;;;;;
Cote d'Ivoire,France,2022,,1,,P-400,patrol boat,1,,2022,Second hand,Second-hand,7.6,7.6,7.6;;;;;;;;;;;;;;
Croatia,France,2022,,60,?,Mistral,portable SAM,35,?,2023;2024,New,EUR54 m deal;Mistral-3 version,0.09,5.4,3.15;;;;;;;;;;;;
Croatia,France,2021,,12,,Rafale,FGA aircraft,8,,2023;2024,Second hand,Second-hand;EUR999 m deal;Rafale F3-R version (incl 2 Rafale-B trainer/combat version);delivery planned 2023-2025,22,264,176;;;;;;;;;;
Cyprus,France,2019,,20,?,MM-40-3 Exocet,anti-ship/land-attack missile,20,?,2020;2021,New,For 1 Exocet coast defence system,1,20,20;;;;;;;;;;;;;
Czechia,France,2019,,62,,TITUS,armoured personnel carrier,62,?,2023;2024,New,CZK6b ($264 m) deal; produced under licence in Czechia;incl 40 command post and 20 artillery command versions,0.27,16.74,16.74;;;;;;;;;;;
Denmark,France,2020,,9,?,FLASH,anti-submarine sonar,4,?,2023;2024,New,ASQ-22 ALFS version for 9 MH-60R anti-submarine helicopters from USA; from production line in USA;delivery planned 2023-2026,2,18,8;;;;;;;;;;;
Djibouti,France,2020,?,6,,MO-120-RT 120mm,mortar,6,,2021,New,Possibly second-hand;designation uncertain (reported as '120mm Mortar'),0.3,1.8,1.8;;;;;;;;;;;;;
Ecuador,France,2017,,2,,AS-350/AS-550 Fennec,light helicopter,2,,2018,New,USD5.4 m. deal;AS-350B3 version,0.9,1.8,1.8;;;;;;;;;;;;;
Ecuador,France,2008,,2,,S-CUBE,submarine sonar,1,,2014,New,For modernization of 2 Type-209 submarines,5,10,5;;;;;;;;;;;;;;
