United Kingdom,Germany,2015,,29,,EC135,light helicopter,29,,2016; 2017; 2018,New,For UK company for training UK armed forces in 'MFTS' programme; UK designation Juno HT-1,2.25,65.25,65.25
United Kingdom,Germany,2014,,589,,vehicle engine,vehicle engine,142,?,2018; 2019; 2020; 2022; 2023; 2024,New,MTU 8V-199 (820hp) diesel engine for 589 Scout-SV reconnaissance vehicles and armoured personnel carriers from Spain,0.16,94.24,22.72
United Kingdom,Germany,2019,,523,,Boxer,armoured personnel carrier,12,?,2023; 2024,New,GBP2.8 b ($3.6 b) 'MIV' programme (incl 506 produced under licence in UK); incl ambulance and command post versions,0.55,287.65,6.6
United States,Germany,2014,,155,?,EC145,light helicopter,149,?,2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,Produced in USA; for training; US designations UH-72A; LUH-72A or UH-72B,3.25,503.75,484.25
United States,Germany,2004,,29,?,TRS-3D,air/sea-search radar,20,?,2014; 2015; 2016; 2017; 2018; 2019; 2020; 2021; 2022; 2023; 2024,New,TRS-3D/16 version for 16 LCS-1 (Freedom) frigates and 11 Legend (NSC) patrol ships produced in USA and 1 land-based site; possibly incl production under licence in USA,10,290,200
United States,Germany,2003,?,22,?,ship engine,ship engine,16,,2014; 2015; 2017; 2019; 2021; 2023; 2024,New,MTU 20V1163 (9900hp) diesel engine for 11 Legend (NSC) patrol ships produced in USA,3,66,48
United States,Germany,2022,,96,?,vehicle engine,vehicle engine,3,?,2024,New,MTU 8V-199TE21 (820hp) diesel engine for 96 Griffin-2 (M-10 Booker) tanks produced in USA,0.16,15.36,0.48
United States,Germany,2016,,40,?,ship engine,ship engine,2,,2022,New,Fairbanks Morse-MAN 12V48/60 (19000hp) diesel engine for 20 John Lewis support ships produced in USA; produced under licence in USA,5,200,10
United States,Germany,2006,,346,?,EC145,light helicopter,59,?,2014; 2015,New,$3 b 'LUH' programme (incl 20 years support); produced under licence in USA; US designation UH-72A Lakota,3.25,1124.5,191.75
United States,Germany,2015,,6,,G-120TP,trainer aircraft,6,?,2016,New,For civilian company for training of US military,0.4,2.4,2.4
Uruguay,Germany,2023,,14,,vehicle engine,vehicle engine,14,?,2024,Second hand,For 14 Mamba Mk-7 armoured personnel carriers from USA,0.01,0.17,0.17
Venezuela,Germany,2013,,2,,Do-228,light transport aircraft,2,,2014,Second hand,Second-hand; Do-228-212 version,0.88,1.76,1.76
Venezuela,Germany,2013,,1,?,Do-228,light transport aircraft,1,,2014,New,Do-228-212NG version; originally 8 ordered but only 1 delivered,2.2,2.2,2.2
Venezuela,Germany,2006,?,32,,ship engine,ship engine,4,,2020,New,MTU 12V-1163 (5900hp) diesel engine for 4 POVZEE (Carib�) and 4 BVL (Guaicamacuto) patrol ships from Spain,1.5,48,6
