VolkerFitzpatrick Ltd,58,100,0,0,
Elbit Systems UK Ltd,57,100,0,0,
Airbus Helicopters UK Ltd,57,0,100,0,
Shared Services Connected Ltd,57,100,0,0,
Foreland Shipping Ltd,57,73,27,0,
Motor Oil (Hellas) Corinth Refineries S.A,56,100,0,0,
Leidos Innovations UK Ltd,56,73,27,0,
NATO,56,0,0,100,[note 14]
A&P Group Ltd,55,100,0,0,
Government Legal Department,54,0,0,100,[note 13] [note 17] [note 18]
Kier Graham Defence Ltd,54,9,91,0,
"Energy, Safety and Risk Consultants (UK) Ltd",53,0,100,0,
Safran Helicopter Engines UK Ltd,52,0,100,0,
Nuclear Decommissioning Authority,51,0,73,27,[note 13]
NATS (En Route) PLC,51,0,97,3,
Kuwait Petroleum International Aviation Company (UK) Ltd,48,100,0,0,
Aerial Exposure Ltd,48,26,74,0,
SiXworks Ltd,47,52,47,1,
AmeyBriggs Services Ltd,46,100,0,0,
Centerprise International Ltd,46,97,0,2,[note 17] [note 19]
Deloitte LLP,45,72,12,16,[note 17] [note 18]
Government Property Agency,45,0,0,100,[note 13]
Marlborough Communications Ltd,43,16,84,0,[note 17]
UK Docks Marine Services North Ltd,42,100,0,0,
AtkinsRéalis UK Ltd,41,50,43,7,[note 17]
Supacat Ltd,41,0,100,0,
Turner & Townsend Consulting Ltd,41,100,0,0,
Exolum Pipeline Systems Ltd,40,0,100,0,
Pinnacle Housing Ltd,40,100,0,0,
Topmark Claims Management Ltd,39,100,0,0,
Royal Norwegian Government,39,0,0,100,[note 15]
BAE Systems Applied Intelligence Ltd,38,33,26,41,[note 17]
Ultra Sonar Systems Ltd,36,22,63,15,[note 17]
Met Office,36,0,0,100,[note 13] [note 17] [note 18]
Falcon Support Services Ltd,36,100,0,0,
KPMG LLP,36,93,5,2,[note 17] [note 18]
Rafael Advanced Defense Systems Ltd,36,26,74,0,
Willmott Dixon Construction Ltd,35,87,4,8,[note 17] [note 18]
Wiltshire Council,35,0,0,100,[note 17]
Systems Engineering & Assessment Ltd,34,98,1,1,[note 17]
Source Tactical Gear Ltd,34,99,1,0,
"Department for Levelling Up, Housing and Communities",34,0,0,100,[note 13]
Certas Energy UK Ltd,34,98,0,2,[note 17]
The Oil & Pipelines Agency,34,0,0,100,[note 13]
MASS Consultants Ltd,33,33,43,24,[note 17]
Rheinmetall Waffe Munition GMBH,33,0,95,5,
OMD Group Ltd,33,100,0,0,
Qioptiq Ltd,33,48,40,12,[note 17]
Palantir Technologies UK Ltd,33,0,100,0,
Government Communications HQ,33,1,0,99,[note 13] [note 17]
Malloy Aeronautics Ltd,32,0,100,0,
Compañia Española de Petróleos SA,32,100,0,0,
IBM United Kingdom Ltd,32,97,3,0,[note 17]
Inteq Services Ltd,32,100,0,0,
SecureCloud+ Ltd,32,98,2,1,[note 17]
Carbon60 Ltd,31,96,4,0,
Alexander Mann Solutions Ltd,31,14,0,86,[note 17] [note 18]
AECOM Ltd,31,78,21,0,
NATO Consultation Command and Control Agency,31,0,0,100,[note 14]
Mott MacDonald Ltd,31,62,38,0,
Rolls-Royce Power Engineering Ltd,30,0,100,0,
Ian Edgar (Liverpool) Ltd,30,45,47,8,[note 17]
Digi2al Ltd,29,79,20,1,[note 17]
JUNGHANS Microtec GMBH,29,0,100,0,
BFBS,29,99,1,0,
Defence Training Services Ltd,29,100,0,0,
Fast Training Services Ltd,29,99,0,1,
Extraspace Solutions (UK) Ltd,29,98,2,0,
Saab Dynamics AB,29,19,81,0,
TEKEVER UAS SA,28,0,100,0,
Sierra Nevada Corporation Mission Systems UK Ltd,28,35,65,0,
DE&S DECA,27,2,85,13,[note 13]
Worldwide Language Resources Ltd,27,100,0,0,
Saab UK Ltd,27,2,91,8,[note 17]
Akhter Computers Ltd,26,90,4,5,[note 17] [note 19]
Bristow Helicopters Ltd,26,100,0,0,
Chemring Countermeasures Ltd,26,0,89,11,[note 17]
BP Oil International Ltd,26,100,0,0,
L3Harris Communications Systems UK Ltd,25,63,37,0,
Moneycorp (Hong Kong) Ltd - UK Branch,25,100,0,0,
Morgan Sindall Construction & Infrastructure Ltd,25,87,0,13,[note 17]
Rheinmetall MAN Military Vehicles UK Ltd,24,20,80,0,
Rowden Technologies Ltd,24,82,17,1,[note 17]
Skanska UK PLC,24,100,0,0,
Saab AB,24,0,100,0,
Government Communications Planning Directorate,23,0,0,100,[note 13]
Actica Consulting Ltd,23,45,11,44,[note 17]
Receiver General for Canada,23,0,0,100,[note 15]
DLA Piper UK LLP,23,5,4,91,
Microsoft Ltd,23,0,98,2,[note 17]
Metrea Mission Data Ltd,22,13,1,86,[note 17]
British Airways PLC,22,0,0,100,[note 19]
CDW Ltd,22,93,2,6,[note 18]
JFD Ltd,22,101,-1,0,
Lockheed Martin UK Ampthill Ltd,22,0,88,12,[note 17]
Tetra Tech Management Services Ltd,22,82,18,0,
Atos IT Services UK Ltd,21,100,0,0,
NP Aerospace Ltd,21,98,2,1,[note 17]
Marshall Land Systems Ltd,21,59,41,0,[note 17]
Mabway Ltd,21,100,0,0,
Brit Paymaster SHAPE,21,0,0,100,[note 14]
Terberg DTS (UK) Ltd,21,100,0,0,
Saab AB (Publ),21,0,100,0,
KNDS Defence UK Ltd,21,0,100,0,
L3Harris TRL Technology Ltd,20,47,51,3,[note 17]
STS Defence Ltd,20,68,32,0,
Lagan - Iacovou JV,20,100,0,0,
The C.S.P. (Cyprus Services Provider) Joint Venture,20,100,0,0,
Henry Brothers Ltd,20,100,0,0,
Level Peaks Associates Ltd,20,4,96,0,
Monitor Intelligence Services Ltd,20,99,1,0,
Bovis Construction (Europe) Ltd,19,89,11,0,
Primar Stavanger Norway,19,0,0,100,[note 15] [note 18]
John Graham Construction Ltd,19,100,0,0,
HCRG Workforce and Sugarman Holdings Ltd,19,100,0,0,
ESRI (UK) Ltd,18,0,87,13,[note 17] [note 18]
Electricity Authority of Cyprus,18,0,0,100,
FMV Test and Evalution Directorate,18,0,0,100,[note 15]
Lockheed Martin UK Strategic Systems Ltd,18,0,99,0,[note 17]
R.G.Carter Cambridge Ltd,18,100,0,0,
BMT Ltd,18,99,0,1,[note 17] [note 18]
Smiths Detection-Watford Ltd,18,85,14,1,[note 17]
QinetiQ Training and Simulation Ltd,17,14,0,86,[note 17]
Veolia Water Nevis Ltd,17,100,0,0,
CPPC Logistic Group of Companies Ltd,17,0,100,0,
Royal Hospital Chelsea,17,0,0,100,
Radionor Communications AS,17,3,97,0,
Ultra I&C Ltd,17,0,100,0,
PricewaterhouseCoopers LLP,17,55,45,0,[note 18]
