Algeria,United Kingdom,2012,,6,,Super Lynx,anti-submarine helicopter,6,?,2015;2016,New,Super Lynx Mk-140 version,12.5,75,75;;;;;;;;
Angola,United Kingdom,2015,?,1,?,Seaspray,maritime patrol aircraft radar,1,,2017,New,For 1 Citation-1 light transport aircraft from USA modified to MP aircraft in Israel before delivery,2,2,2;;;;;;;;;
Australia,United Kingdom,2024,,5,,EC135,light helicopter,5,,2024,New,,2.25,11.25,11.25;;;;;;;;;
Australia,United Kingdom,2015,,2,,air refuel system,air refuel system,2,,2018;2019,New,For modification of 2 A330 transport aircraft to A330 MRTT tanker/transport aircraft,10,20,20;;;;;;;;
Greece,United Kingdom,2021,,36,?,Meteor,long-range air-to-air missile,36,?,2022;2023,New,For Rafale combat aircraft;ordered via France,0.8,28.8,28.8;;;;;;;
Guyana,United Kingdom,2018,?,2,,Skyvan,light transport aircraft,2,,2019,Second hand,Second-hand,1,2,2;;;;;;;;;
India,United Kingdom,2010,,57,,Hawk-100,trainer/combat aircraft,43,?,2014;2015;2016,New,GBP700-735 m ($1.1 b) deal;Hawk-132 version,10,570,430;;;;;;
India,United Kingdom,2017,,200,?,Meteor,long-range air-to-air missile,200,?,2020;2021;2022,New,Part of EUR710 m deal; for Rafale combat aircraft;sold via France,0.8,160,160;;;;;
India,United Kingdom,2016,,145,,UFH/M-777 155mm,towed gun,145,?,2018;2019;2020;2021;2022,New,$736 m deal; ordered via USA from US production line;incl 120 assembled/produced under licence in India,1,145,145;;;
India,United Kingdom,2014,?,384,,ASRAAM,long-range air-to-air missile,384,?,2021;2022;2023;2024,New,ASRAAM Block-4 version;Indian designation NGCCM,0.18,69.12,69.12;;;;;
Indonesia,United Kingdom,2012,?,1000,?,Starstreak,SAM,1000,?,2014;2015;2016;2017;2018;2019;2020;2021;2022;2023,New,For Forceshield SAM system,0.09,90,90
Indonesia,United Kingdom,2014,,10,,Forceshield,SAM system,10,?,2016;2017;2018;2019;2020;2021;2022;2023,New,$165 m deal,7.5,75,75;;
Indonesia,United Kingdom,2013,,3,,Brunei,frigate,3,,2014,New,GBP120 m deal; originally produced for Brunei but cancelled and sold to Indonesia;Indonesian designation Bung Tomo,197.25,591.75,591.75;;;;;;;
Ireland,United Kingdom,2014,,1,,PV-90,patrol ship,1,,2016,New,,34.85,34.85,34.85;;;;;;;;;
